,Age,Gender,Income,Vintage,Transaction_Status,Product_Holdings,Credit_Card,Credit_Category,Is_Churn,Balance
136,44,0,3,0,0,0,1,2,0,0.5179909608195262
137,41,0,2,5,0,1,1,1,0,-1.846910274455958
138,35,1,0,3,1,0,1,1,0,0.06645534144277361
139,55,0,2,0,1,1,1,2,0,-0.9384358448378187
140,42,1,3,4,0,1,0,2,1,0.6339875580615859
141,46,1,1,2,1,0,1,1,0,-0.3888570909621295
142,27,0,2,0,1,0,1,0,0,1.0705159516331273
143,31,1,1,3,1,0,1,2,0,0.7937483892625269
144,47,1,0,0,0,0,1,2,0,0.9128413756529292
145,49,1,3,4,1,0,1,0,0,0.6892201061349291
146,25,1,2,3,1,1,1,1,0,0.9023988572165602
147,31,1,3,4,1,1,1,2,0,0.14811106180029748
148,29,0,2,2,1,0,0,1,0,0.76840703995561
149,44,1,3,2,1,0,0,1,0,0.6071801944385433
150,28,1,1,4,1,0,1,2,0,0.7024737446297606
151,28,0,2,1,0,1,0,2,0,0.6006367434670189
152,36,1,1,1,0,0,1,2,1,-2.4861594482942815
153,41,0,1,1,0,1,1,1,0,-1.3585798136246863
154,63,1,3,0,1,1,1,2,0,0.4690648429245299
155,31,0,2,4,0,0,1,2,0,0.933433333649582
156,38,1,3,4,1,1,0,0,0,0.4106089674387269
157,39,0,0,3,1,1,1,1,0,0.04042043511946242
158,49,1,3,4,0,0,1,2,1,-0.38416981743508466
159,35,1,2,0,0,1,0,2,0,-1.7063988368513359
160,68,0,2,1,1,1,1,1,0,-1.9280828760407338
161,26,0,2,2,0,1,1,0,0,-1.250327171114014
162,30,1,0,1,1,0,1,0,0,0.5493248221689422
163,45,0,0,2,0,0,0,2,0,-1.118233876123371
164,44,0,0,3,0,1,1,1,0,0.6885755495524146
165,65,1,1,1,0,0,0,0,1,-0.9842026886928282
166,32,1,2,3,0,0,1,2,0,0.4188748310984373
167,41,0,3,4,0,0,1,0,1,1.0672980033715862
168,28,1,1,0,0,0,1,0,0,0.37637430713824044
169,42,0,3,1,1,1,1,0,0,-1.8432886696346842
170,35,0,2,1,0,1,0,2,1,-0.16261559262625547
171,33,1,3,0,1,2,1,0,0,-1.4942297475704245
172,33,1,2,3,1,1,0,0,0,-3.4732276894619427
173,31,0,3,0,1,1,1,1,0,0.9127585756767377
174,45,1,0,3,0,0,1,0,0,0.8923090998601525
175,40,0,2,3,1,1,1,2,0,-2.309825011911976
176,37,1,1,0,0,1,1,2,0,0.7814856075904713
177,40,1,1,0,1,0,1,2,0,0.5890388006989382
178,57,0,0,2,1,1,1,1,1,0.7849832967513901
179,33,1,0,4,1,0,1,2,0,0.6407342207227461
180,23,0,2,0,0,1,1,2,1,0.06785314415580024
181,39,1,2,1,1,1,1,2,0,-0.596717611029957
182,29,1,2,2,0,1,1,1,0,0.3605127156157855
183,29,0,0,0,1,0,1,2,0,0.7482558614396025
184,50,1,3,5,1,1,1,1,0,1.219834904514657
185,38,0,3,1,1,1,0,0,0,0.34579239895402597
186,45,0,2,2,0,0,1,1,0,0.8537238563528992
187,49,0,3,5,1,1,0,0,0,1.1122840922893071
188,46,0,1,3,1,0,1,0,1,-0.7514801150833672
189,34,0,2,2,1,1,0,2,1,-0.9229581027085892
190,45,0,2,1,1,1,1,0,1,-0.05481116204759945
191,34,1,2,1,1,2,1,2,0,-1.2181066351283503
192,57,0,0,1,1,1,1,0,0,0.6990743150475622
193,28,0,0,1,0,0,0,0,0,-1.4161850778678917
194,45,1,1,2,0,0,1,1,0,1.2086543141929977
195,27,1,1,1,0,0,0,2,0,1.192628310882209
196,28,0,3,3,1,1,0,0,0,0.23787601831033092
197,41,1,0,4,1,0,0,1,0,0.039060958505579724
198,46,1,1,2,1,1,1,2,0,0.26311888107998177
199,50,0,3,1,1,0,1,0,1,0.22351962847846257
200,32,0,2,1,0,0,1,0,0,-0.3337696144558435
201,37,0,0,0,0,1,0,1,0,-0.8285214845520595
202,44,1,2,3,1,0,1,0,0,0.7499433231801278
203,52,0,1,1,0,1,1,2,1,0.34891473293445047
204,33,1,0,0,1,0,1,0,0,-0.6709686473847238
205,37,1,2,1,0,1,1,2,0,0.17296418691096138
206,44,0,2,3,1,1,1,2,0,-1.220339551185353
207,42,1,2,2,0,0,1,0,0,0.8114213694847677
208,60,0,1,2,1,0,1,0,0,0.8076704478474938
209,59,1,3,2,0,1,0,0,0,-0.6652318207682688
210,39,0,0,2,1,0,1,0,0,0.7661608319666718
211,50,1,3,4,0,1,0,2,0,0.6170051235359756
212,36,0,2,5,0,0,1,2,0,0.6878802949927272
213,28,0,2,0,1,0,1,2,0,0.2942012694566379
214,26,1,1,4,1,1,1,2,0,-1.0521275696133887
215,38,0,1,2,1,1,0,1,0,-0.027371581445413195
216,39,1,1,4,0,0,0,1,0,1.035047205063517
217,41,0,0,2,1,0,1,0,0,-0.12469606142494148
218,29,0,2,1,0,0,1,2,0,-1.2977632301060094
219,35,1,1,0,0,1,1,0,0,0.9051460496469924
220,65,1,1,4,1,1,1,0,0,-0.06270889821124136
221,35,1,1,1,1,1,1,0,1,0.5337632798778991
222,67,1,1,3,0,1,0,2,1,0.4370643835482486
223,42,0,0,4,1,0,0,0,0,0.9449123737128224
224,48,1,3,1,1,1,1,1,0,-0.027614052040021975
225,35,1,1,1,1,0,1,2,0,1.266629715598861
226,39,0,1,4,0,1,1,2,0,0.24959065723770876
227,35,1,2,0,1,1,0,0,0,0.578605911967703
228,42,0,0,4,0,0,1,2,0,1.0678473861519608
229,50,0,3,1,1,1,1,1,0,0.3359495123243782
230,33,0,2,4,0,0,1,1,0,-0.8018240060477736
231,36,0,0,3,0,0,1,0,0,-1.9940406802536115
232,50,0,0,1,1,0,1,2,1,-0.11185071217879806
233,51,1,0,2,0,0,1,2,1,-0.8470360501805809
234,34,0,0,1,0,0,0,2,0,0.35223464341999594
235,35,1,3,0,0,0,1,2,0,0.41795288323991114
236,51,1,0,2,1,1,1,2,0,0.6899084002837652
237,30,0,2,2,1,1,1,0,0,0.4999261326654787
238,44,0,0,1,1,0,1,1,1,-0.06610437016288591
239,34,0,1,4,0,1,1,0,0,0.4914267704862598
240,32,1,2,3,0,0,1,2,0,-0.2623913795883027
241,63,0,1,0,0,1,0,2,0,0.17316284727773276
242,33,1,0,1,1,1,1,0,0,-1.56939483309847
243,48,0,0,4,1,1,1,2,0,0.044982643305504784
244,32,0,1,1,1,1,1,2,0,-0.22743739121660764
245,48,1,0,3,1,0,0,1,0,0.012500795633536435
246,35,1,1,2,0,1,1,2,0,-2.726503455625591
247,35,0,1,4,1,1,1,1,0,-3.353190511891236
248,28,0,2,5,1,0,1,1,0,-1.2125459206672906
249,49,1,1,4,0,1,0,2,0,0.33454017324291724
250,42,1,3,3,1,0,0,0,0,0.49775123333914445
251,52,1,0,3,0,0,1,2,1,1.0787369334231631
252,47,1,3,2,0,2,1,1,0,-0.019704982169283146
253,42,1,2,4,1,0,1,0,0,-0.17785348135314052
254,31,0,0,1,0,0,0,2,1,0.443244546395078
255,41,1,1,4,0,0,1,2,1,0.5929287780554199
256,35,0,3,0,0,0,1,2,0,0.2542401705667577
257,42,0,1,4,1,1,1,0,0,0.6221450988249773
258,40,0,3,3,0,0,1,1,0,1.0585379856589283
259,25,0,0,0,1,1,1,2,0,-0.6836124475094302
260,38,1,2,1,0,1,1,1,0,-0.20596489595603149
261,39,0,1,5,1,1,1,1,1,0.5808637186736242
262,52,1,2,4,1,1,1,2,0,-1.6040544914601667
263,33,0,0,5,0,1,1,0,0,0.9085118807418052
264,38,0,2,1,0,0,0,0,1,0.8501738276295578
265,45,0,2,2,1,2,1,2,0,-0.7087093961020627
266,41,1,0,1,1,1,1,2,1,-0.28142943113951
267,36,1,0,1,1,1,0,1,0,-0.6859466799584792
268,47,0,1,1,0,0,0,2,1,-0.40521039629311395
269,57,1,0,2,0,1,0,2,0,-0.23165944213532033
270,49,0,0,1,0,0,0,1,0,0.7547542991064053
271,33,0,3,2,0,0,1,0,0,0.32474720008447133
272,32,1,3,4,1,0,1,0,0,0.9564630462091218
273,30,1,0,0,1,1,1,0,0,0.5038354457102932
274,34,0,0,3,1,0,1,2,0,1.1751866946668028
275,52,1,0,0,1,1,1,1,0,1.120163026249661
276,46,1,3,2,1,0,1,2,0,0.7139023277875358
277,34,1,0,4,1,1,1,2,0,-0.36670238487548945
278,30,0,0,4,1,0,0,0,0,0.46176378984898425
279,36,1,3,4,1,1,0,2,0,0.2855669163179297
280,36,0,3,0,0,1,1,1,0,-1.07356707227688
281,40,0,1,3,0,1,1,0,0,0.45504226517019386
282,60,0,1,4,0,0,1,2,1,0.5475167369737401
283,30,0,1,4,0,0,1,1,0,0.821136183772558
284,34,0,1,3,1,1,1,1,0,0.5777058985433003
285,36,1,3,3,0,0,0,1,0,0.9140266815493787
286,51,1,2,2,0,0,0,2,0,0.9709383798167345
287,29,0,0,2,0,1,1,2,0,0.9149966545737641
288,32,0,1,1,0,0,0,2,1,0.84881612163598
289,37,1,1,4,0,0,0,1,1,0.8108006307856547
290,33,1,2,0,0,0,0,0,0,-0.028393106138564585
291,40,0,2,4,0,0,1,2,0,0.42723264530907734
292,40,1,1,2,0,1,1,0,0,-1.369419704684255
293,60,1,2,2,0,0,0,0,0,0.40709083330809387
294,54,1,0,1,1,1,1,1,0,0.04549835143262829
295,40,1,2,4,1,1,1,0,0,0.6811123487508253
296,26,0,3,1,1,0,1,2,0,0.9138673460125541
297,33,1,0,3,0,0,1,1,0,-1.5957988490940098
298,42,1,2,2,1,0,1,1,0,-0.32372029853339745
299,35,1,0,1,0,1,0,0,0,1.011473855916119
300,42,0,2,3,0,1,1,2,0,0.723953957215147
301,44,1,1,0,1,0,1,0,0,-0.18079631855707992
302,40,1,1,3,0,0,1,2,0,0.6179215354148758
303,38,0,0,3,0,1,1,2,0,0.2176856911673657
304,43,1,1,0,1,1,1,0,0,0.3855888667280357
305,38,1,2,2,0,1,1,0,0,0.3903099528370641
306,32,0,0,4,0,1,0,1,0,0.24369968242771947
307,50,1,3,5,1,0,1,2,1,-1.462349391682198
308,29,1,3,4,0,1,1,1,0,0.18852480220440826
309,32,1,1,2,1,1,1,2,0,-1.2548715164636488
310,54,0,0,5,1,0,1,2,1,-0.775890123037537
311,30,0,3,0,1,0,0,2,0,-0.1662456577137106
312,37,1,3,4,1,1,1,0,0,0.8984423053883676
313,39,1,3,4,1,0,1,2,0,1.04622551333313
314,29,0,0,0,0,0,1,0,0,1.368087954372694
315,58,0,3,1,0,1,0,2,1,-1.481732672462271
316,25,1,1,1,1,1,1,2,0,0.6190680402985353
317,50,0,1,0,1,1,0,2,0,0.8868568570678215
318,44,1,0,2,0,2,0,2,0,0.5361179816942386
319,43,0,1,3,1,0,0,1,1,-0.523399059709214
320,45,0,0,1,1,1,1,2,1,-0.6141765597632678
321,41,1,1,1,0,1,0,2,1,0.5934501160931731
322,35,0,1,0,1,1,1,1,1,0.5809767840213771
323,59,1,1,3,1,0,1,0,1,0.8729999681207185
324,42,0,2,3,0,0,1,0,1,0.7853643913736478
325,30,1,1,1,1,0,1,2,0,0.2700156084817625
326,29,0,1,0,1,2,0,0,0,-1.4250645170758767
327,46,1,1,4,0,0,1,1,0,0.2610462338202819
328,44,1,1,1,0,1,1,2,0,-0.045180346708348466
329,34,1,3,5,0,1,1,2,0,-3.128674766426304
330,48,1,3,1,1,1,1,2,0,-0.09136202961874079
331,53,1,3,2,1,1,1,0,0,0.4334563239652134
332,41,0,1,2,0,2,1,1,0,-0.52118275619345
333,51,0,2,3,0,0,1,2,1,0.5391570317831949
334,41,0,2,2,0,2,0,2,1,0.2906336180762017
335,42,0,3,0,1,0,1,2,1,0.009386064620213911
336,33,1,0,0,0,0,1,2,0,1.4283244468075673
337,53,1,0,1,1,0,0,1,0,0.9097121152130452
338,71,1,1,3,0,1,1,2,1,-0.14555638277819688
339,49,0,3,3,1,1,0,0,0,0.6921820644392965
340,45,0,3,4,1,1,1,2,0,-0.4749495170612801
341,45,1,1,4,0,0,0,2,0,0.5695715606977869
342,46,0,0,4,1,1,0,0,1,-2.1361815391928656
343,43,1,1,2,0,0,0,2,0,-0.003024370143414267
344,47,1,2,3,0,0,1,0,1,0.8742172407754516
345,39,1,1,4,1,0,1,1,0,0.17106327279431988
346,25,0,0,0,1,1,1,2,0,-0.5361931989712628
347,29,0,3,2,1,1,0,0,0,-0.053756036098647056
348,44,0,1,3,0,0,0,2,1,0.6301205121217947
349,39,1,0,1,1,1,0,0,0,0.6917694698389139
350,41,0,2,2,0,0,1,1,1,1.0405827170254336
351,59,1,0,1,1,0,1,0,1,-0.11188640588900182
352,32,0,0,2,0,1,1,0,0,-0.036311037324993
353,33,1,0,0,1,1,1,0,0,0.2058552018586806
354,37,1,2,2,0,1,0,2,0,-2.4386089649151406
355,49,0,1,1,0,1,1,2,0,0.9438765499263685
356,51,1,1,4,1,1,1,0,0,-1.7735729074608235
357,39,1,0,3,1,0,1,2,0,0.15515963912946576
358,37,1,2,2,0,0,1,2,0,0.8668937683532421
359,53,0,3,0,0,0,1,0,0,0.12714533967843064
360,33,0,3,2,1,2,1,1,0,-1.3786233655994589
361,32,0,3,2,0,0,1,0,0,1.2948768308510774
362,29,1,2,1,1,0,1,2,0,0.10629268226795563
363,35,1,0,2,1,1,1,2,0,0.10366054402084086
364,41,0,1,1,0,0,0,2,0,0.5884973274153653
365,26,1,1,1,1,1,1,2,0,-0.15149255071127007
366,47,0,0,4,1,1,0,1,0,-1.6642318422864086
367,36,1,3,4,1,0,1,1,0,0.7621731959829674
368,56,0,3,3,0,0,1,2,1,1.0767898286292465
369,46,1,0,1,0,1,1,0,1,-0.04953692363343307
370,41,0,1,4,1,0,0,0,0,-0.2762371781345337
371,57,0,0,4,1,1,0,0,1,-0.21080038670065876
372,48,0,3,0,1,1,0,1,1,0.27216245961361324
373,47,1,0,3,0,1,0,0,0,-0.47427997616806705
374,39,0,2,3,0,0,1,2,1,-0.7998160039872473
375,42,0,1,4,0,1,0,1,0,-1.5682252203857523
376,33,1,2,4,1,1,0,2,0,-2.0012702117821206
377,65,1,2,4,1,0,0,0,0,0.8253826623174146
378,42,0,0,0,1,1,1,0,1,0.7034664052335802
379,41,0,2,2,0,0,1,1,0,1.2089994533570168
380,47,1,0,1,1,1,1,2,0,-1.6426819646405852
381,58,0,1,2,0,1,1,2,1,0.6332344607883587
382,46,0,2,3,0,0,1,2,0,0.5273549508214357
383,35,0,3,0,0,1,1,2,0,0.22139241642108154
384,40,1,0,4,1,0,1,2,0,-0.24450408583671743
385,29,0,1,4,0,1,1,2,0,-0.48327482348224515
386,44,0,2,1,1,0,1,2,0,0.4639347079869286
387,38,1,3,0,1,1,1,0,0,-0.5613970270201836
388,48,0,2,2,0,1,1,0,1,-0.7661930114650625
389,43,0,2,1,1,1,1,0,0,-1.3087607948072535
390,49,1,2,0,0,0,0,1,1,1.1606864639841707
391,53,0,1,4,0,1,1,0,0,-0.08315317941803094
392,50,0,2,3,0,0,1,0,0,-0.49270592691442555
393,46,0,0,5,0,0,1,0,0,0.7227063854417336
394,55,1,0,2,1,1,0,2,0,0.4576389588386555
395,58,0,3,1,1,0,1,2,1,0.15679311511791852
396,39,1,3,3,0,1,1,2,0,-0.03597079411257716
397,39,1,1,1,0,0,1,2,0,0.4973474476038387
398,30,0,2,2,1,1,1,2,0,-1.5908364021765493
399,44,0,0,4,0,1,1,2,0,0.17871361945414987
400,46,1,1,3,1,0,1,1,0,0.9491551994032631
401,31,1,3,1,0,1,0,2,0,0.6257799012805335
402,35,0,0,2,0,1,1,0,0,0.15259362204638224
403,33,0,1,0,0,1,1,0,0,0.10352319888103484
404,42,0,1,3,1,0,1,1,0,0.8548548592316816
405,68,1,2,0,0,1,0,2,0,0.10292624281177265
406,39,0,2,1,1,1,1,2,0,0.9780856886011802
407,32,1,3,1,1,0,1,0,0,-0.3492507315509395
408,45,0,3,0,1,1,0,1,0,0.7919169793708726
409,30,0,0,0,1,0,0,2,0,-0.49410034292415456
410,40,1,0,1,1,0,1,0,1,0.6364207426364137
411,47,0,3,1,1,0,1,2,0,0.711344321190113
412,40,0,0,1,0,1,1,0,0,0.10207689814957668
413,31,0,3,1,0,1,1,0,0,-0.950986543004535
414,47,0,1,4,0,1,0,2,0,0.40753108492349516
415,37,0,1,1,0,0,1,1,0,-0.0842498171148916
416,45,1,0,2,1,0,1,1,0,-0.15819387479608846
417,40,0,3,3,1,1,1,2,0,0.8038054695481526
418,37,0,0,3,1,1,1,1,0,0.018225484336407048
419,30,0,1,2,1,1,0,2,0,0.46758811788650695
420,32,0,1,1,0,0,1,0,0,1.0351217120995244
421,27,0,2,0,1,0,1,1,0,-1.4457113568570779
422,35,1,2,3,1,0,1,0,0,1.2357506344966547
423,39,0,3,1,1,1,0,2,0,0.28602879672199305
424,44,1,2,2,0,1,0,1,1,0.02601299954285509
425,26,1,2,0,0,0,1,0,0,0.4224574000483155
426,38,0,1,1,1,1,1,0,0,1.1389153807799361
427,46,0,2,1,0,0,1,0,0,0.13689032674802615
428,31,0,1,1,0,0,0,2,0,0.10935899738298353
429,51,1,3,1,0,1,0,2,0,-0.04906597634140067
430,52,0,0,4,0,0,1,2,0,0.9288623328566606
431,53,0,3,3,0,1,1,1,0,0.4880181951297549
432,38,0,1,3,1,0,0,0,0,0.46235715005886563
433,44,1,0,0,0,0,1,2,1,0.30940614677534717
434,43,0,1,2,1,0,0,2,0,-1.1870124285204156
435,43,0,2,3,0,1,1,0,1,0.29390921365157413
436,40,0,1,4,1,0,1,2,0,0.6161058902877331
437,29,1,1,3,0,0,1,0,0,0.554793642281576
438,49,1,1,2,1,0,0,0,0,-2.3089953033341075
439,33,0,2,1,0,0,0,2,0,0.5683054040996289
440,36,1,2,3,1,0,0,2,0,0.3459316856376324
441,63,1,1,1,0,1,0,0,0,0.42184884595959904
442,53,1,0,3,1,1,1,0,0,-0.012382595362247777
443,52,0,2,4,1,2,0,2,1,0.44468424845184296
444,47,0,3,2,0,0,0,2,1,0.9279195612004713
445,34,1,2,4,0,1,1,0,0,0.551003987498074
446,46,0,0,2,1,0,1,0,0,0.6431268293243922
447,37,0,2,4,1,1,0,2,0,-0.029422315308664862
448,42,1,3,3,0,0,1,1,0,-3.260005669538613
449,44,0,3,0,1,0,1,2,0,0.9555700280612541
450,37,1,0,4,0,1,1,1,1,0.9934947241212624
451,63,0,3,2,1,1,1,1,0,-0.17145771137005453
452,41,1,0,2,0,1,1,0,1,0.8105536051292568
453,37,1,0,1,1,1,1,1,0,-0.10980879271865694
454,28,1,2,2,0,1,1,0,0,-0.16738378602291
455,29,1,0,1,1,1,1,2,0,-1.7551052794950495
456,41,0,0,4,1,0,1,2,0,-0.9100585075079921
457,39,1,3,2,1,1,1,2,0,0.805585113222052
458,32,1,0,2,0,1,0,2,0,1.1853877365708927
459,33,0,2,3,1,0,0,2,0,0.7353044103149745
460,29,1,1,4,0,0,1,1,0,0.03412814450847538
461,53,1,1,3,0,1,1,2,0,-2.265520056297555
462,46,1,0,2,1,1,1,1,0,0.1714436450423143
463,36,1,1,2,0,1,1,0,0,0.0908611270813891
464,45,0,3,3,0,1,0,2,0,-0.46645904864772136
465,44,1,0,4,1,0,0,1,0,-2.9796631841968884
466,50,1,1,3,1,1,1,1,0,0.3627354247914065
467,51,0,0,2,1,1,1,0,1,1.0410443034591452
468,58,1,1,4,0,1,1,0,1,0.03223718966561108
469,47,1,0,2,0,0,0,2,0,0.21276376013822837
470,41,0,2,1,1,1,1,2,1,-0.20306514476082446
471,42,1,0,2,0,1,1,2,0,-0.6632638928656551
472,37,1,2,3,0,0,1,2,0,1.1955997180225895
473,41,1,3,2,0,0,1,0,0,0.4318681158174668
